 200.000000000000000  # amax
 2000    # na
 200.000000000000000    # bmax
 2000      # nb
 20.0000000000000000    # Dmax
 100     # nD 
 400  # ndelta
 -0.637859612904992438E-06 17.1717171718585853 0.100000000000000006E-08
 -0.594668209658847087E-06 17.3737373738686856 0.100000000000000006E-08
 -0.554852629737372015E-06 17.5757575758787894 0.100000000000000006E-08
 -0.518114628262826784E-06 17.7777777778888897 0.100000000000000006E-08
 -0.484185279400639302E-06 17.9797979798989900 0.100000000000000006E-08
 -0.452821808544957012E-06 18.1818181819090903 0.100000000000000006E-08
 -0.423804796981038539E-06 18.3838383839191906 0.100000000000000006E-08
 -0.396935711748209625E-06 18.5858585859292944 0.100000000000000006E-08
 -0.372034719861067379E-06 18.7878787879393947 0.100000000000000006E-08
 -0.348938751546297468E-06 18.9898989899494950 0.100000000000000006E-08
 -0.327499781863427205E-06 19.1919191919595953 0.100000000000000006E-08
 -0.307583304118753357E-06 19.3939393939696956 0.100000000000000006E-08
 -0.289066971954450388E-06 19.5959595959797994 0.100000000000000006E-08
 -0.271839389983731609E-06 19.7979797979898997 0.100000000000000006E-08
 -0.255799035419888414E-06 20.0000000000000000 0.100000000000000006E-08
 2693.16731997697798 0.100000000000000006E-08 0.250626665914786958E-02
 0.853355845075016495 0.202020203010101013 0.250626665914786958E-02
 0.481810677519053265 0.404040405020202054 0.250626665914786958E-02
 0.295304076934728321 0.606060607030303067 0.250626665914786958E-02
 0.184595081553267398 0.808080809040404024 0.250626665914786958E-02
 0.114655616093520735 1.01010101105050509 0.250626665914786958E-02
 0.694101233976678195E-01 1.21212121306060605 0.250626665914786958E-02
 0.400248025968210561E-01 1.41414141507070701 0.250626665914786958E-02
 0.211175412844847588E-01 1.61616161708080819 0.250626665914786958E-02
 0.920548451437480826E-02 1.81818181909090915 0.250626665914786958E-02
 0.195763200236184981E-02 2.02020202110101010 0.250626665914786958E-02
 -0.221176431625255817E-02 2.22222222311111128 0.250626665914786958E-02
 -0.438631682285953867E-02 2.42424242512121202 0.250626665914786958E-02
 -0.530350333672119974E-02 2.62626262713131320 0.250626665914786958E-02
 -0.545981668382764483E-02 2.82828282914141438 0.250626665914786958E-02
 -0.518386444480538593E-02 3.03030303115151511 0.250626665914786958E-02
 -0.468802669277327590E-02 3.23232323316161629 0.250626665914786958E-02
 -0.410515941141575968E-02 3.43434343517171703 0.250626665914786958E-02
 -0.351460476535218717E-02 3.63636363718181821 0.250626665914786958E-02
 -0.296046746671952896E-02 3.83838383919191939 0.250626665914786958E-02
 -0.246429043510734821E-02 4.04040404120202012 0.250626665914786958E-02
 -0.203369865651348205E-02 4.24242424321212130 0.250626665914786958E-02
 -0.166817253564755506E-02 4.44444444522222248 0.250626665914786958E-02
 -0.136280745704146756E-02 4.64646464723232366 0.250626665914786958E-02
 -0.111068538234515308E-02 4.84848484924242396 0.250626665914786958E-02
 -0.904309262425663073E-03 5.05050505125252513 0.250626665914786958E-02
 -0.736419529440294975E-03 5.25252525326262631 0.250626665914786958E-02
 -0.600414556898512509E-03 5.45454545527272749 0.250626665914786958E-02
 -0.490526133949018678E-03 5.65656565728282867 0.250626665914786958E-02
 -0.401850447720978872E-03 5.85858585929292897 0.250626665914786958E-02
 -0.330299718265703469E-03 6.06060606130303015 0.250626665914786958E-02
 -0.272515429557771435E-03 6.26262626331313133 0.250626665914786958E-02
 -0.225767896723395579E-03 6.46464646532323250 0.250626665914786958E-02
 -0.187856320849109486E-03 6.66666666733333368 0.250626665914786958E-02
 -0.157016751282658347E-03 6.86868686934343486 0.250626665914786958E-02
 -0.131841237022976821E-03 7.07070707135353516 0.250626665914786958E-02
 -0.111209014562668602E-03 7.27272727336363634 0.250626665914786958E-02
 -0.942292376356887776E-04 7.47474747537373752 0.250626665914786958E-02
 -0.801940925633594956E-04 7.67676767738383869 0.250626665914786958E-02
 -0.685408894183304259E-04 7.87878787939393987 0.250626665914786958E-02
 -0.588216987054655669E-04 8.08080808140404017 0.250626665914786958E-02
 -0.506792054473977354E-04 8.28282828341414223 0.250626665914786958E-02
 -0.438276102504434319E-04 8.48484848542424253 0.250626665914786958E-02
 -0.380375807851240564E-04 8.68686868743434282 0.250626665914786958E-02
 -0.331244254831130944E-04 8.88888888944444489 0.250626665914786958E-02
 -0.289388133720625022E-04 9.09090909145454518 0.250626665914786958E-02
 -0.253594955912638946E-04 9.29292929346464724 0.250626665914786958E-02
 -0.222875947067314569E-04 9.49494949547474754 0.250626665914786958E-02
 -0.196421188799826056E-04 9.69696969748484783 0.250626665914786958E-02
 -0.173564315399316589E-04 9.89898989949494990 0.250626665914786958E-02
 -0.153754660362209202E-04 10.1010101015050502 0.250626665914786958E-02
 -0.136535213234220716E-04 10.3030303035151523 0.250626665914786958E-02
 -0.121525113113269744E-04 10.5050505055252525 0.250626665914786958E-02
 -0.108405690849441039E-04 10.7070707075353528 0.250626665914786958E-02
 -0.969092940162499689E-05 10.9090909095454549 0.250626665914786958E-02
 -0.868103006951029764E-05 11.1111111115555552 0.250626665914786958E-02
 -0.779178609765970267E-05 11.3131313135656573 0.250626665914786958E-02
 -0.700700075775564073E-05 11.5151515155757576 0.250626665914786958E-02
 -0.631288559949296058E-05 11.7171717175858596 0.250626665914786958E-02
 -0.569766755577570328E-05 11.9191919195959599 0.250626665914786958E-02
 -0.515126597834007289E-05 12.1212121216060602 0.250626665914786958E-02
 -0.466502608277860600E-05 12.3232323236161623 0.250626665914786958E-02
 -0.423149810278944842E-05 12.5252525256262626 0.250626665914786958E-02
 -0.384425364732722902E-05 12.7272727276363646 0.250626665914786958E-02
 -0.349773246680881166E-05 12.9292929296464649 0.250626665914786958E-02
 -0.318711417674912623E-05 13.1313131316565652 0.250626665914786958E-02
 -0.290821054392013081E-05 13.3333333336666673 0.250626665914786958E-02
 -0.265737477597925631E-05 13.5353535356767676 0.250626665914786958E-02
 -0.243142491985811383E-05 13.7373737376868696 0.250626665914786958E-02
 -0.222757900479538144E-05 13.9393939396969699 0.250626665914786958E-02
 -0.204339999169867710E-05 14.1414141417070702 0.250626665914786958E-02
 -0.187674893381284534E-05 14.3434343437171723 0.250626665914786958E-02
 -0.172574503167556831E-05 14.5454545457272726 0.250626665914786958E-02
 -0.158873149141844965E-05 14.7474747477373747 0.250626665914786958E-02
 -0.146424628004723337E-05 14.9494949497474749 0.250626665914786958E-02
 -0.135099702257675941E-05 15.1515151517575752 0.250626665914786958E-02
 -0.124783941024749621E-05 15.3535353537676773 0.250626665914786958E-02
 -0.115375859161321744E-05 15.5555555557777776 0.250626665914786958E-02
 -0.106785310312768704E-05 15.7575757577878797 0.250626665914786958E-02
 -0.989320966225457120E-06 15.9595959597979800 0.250626665914786958E-02
 -0.917447636405964469E-06 16.1616161618080802 0.250626665914786958E-02
 -0.851595538602361382E-06 16.3636363638181805 0.250626665914786958E-02
 -0.791194963862668841E-06 16.5656565658282844 0.250626665914786958E-02
 -0.735736136485345017E-06 16.7676767678383847 0.250626665914786958E-02
 -0.684762289373406101E-06 16.9696969698484850 0.250626665914786958E-02
 -0.637863609434149580E-06 17.1717171718585853 0.250626665914786958E-02
 -0.594671935121931288E-06 17.3737373738686856 0.250626665914786958E-02
 -0.554856105330527700E-06 17.5757575758787894 0.250626665914786958E-02
 -0.518117873309009369E-06 17.7777777778888897 0.250626665914786958E-02
 -0.484188311533942793E-06 17.9797979798989900 0.250626665914786958E-02
 -0.452824643874989225E-06 18.1818181819090903 0.250626665914786958E-02
 -0.423807450239566218E-06 18.3838383839191906 0.250626665914786958E-02
 -0.396938196420402860E-06 18.5858585859292944 0.250626665914786958E-02
 -0.372037048302894985E-06 18.7878787879393947 0.250626665914786958E-02
 -0.348940935089800213E-06 18.9898989899494950 0.250626665914786958E-02
 -0.327501830911174473E-06 19.1919191919595953 0.250626665914786958E-02
 -0.307585228228728930E-06 19.3939393939696956 0.250626665914786958E-02
 -0.289068779916396315E-06 19.5959595959797994 0.250626665914786958E-02
 -0.271841089887911721E-06 19.7979797979898997 0.250626665914786958E-02
 -0.255800634719071175E-06 20.0000000000000000 0.250626665914786958E-02
 2693.16731997697798 0.100000000000000006E-08 0.501253231829573969E-02
 0.853347402701454372 0.202020203010101013 0.501253231829573969E-02
 0.481803682739064043 0.404040405020202054 0.501253231829573969E-02
 0.295298539655002634 0.606060607030303067 0.501253231829573969E-02
 0.184590911583552370 0.808080809040404024 0.501253231829573969E-02
 0.114652652273379244 1.01010101105050509 0.501253231829573969E-02
 0.694081645796832680E-01 1.21212121306060605 0.501253231829573969E-02
 0.400236358160376074E-01 1.41414141507070701 0.501253231829573969E-02
 0.211169635583704565E-01 1.61616161708080819 0.501253231829573969E-02
 0.920531715291942471E-02 1.81818181909090915 0.501253231829573969E-02
 0.195772794736889496E-02 2.02020202110101010 0.501253231829573969E-02
 -0.221151872882873910E-02 2.22222222311111128 0.501253231829573969E-02
 -0.438600398944237555E-02 2.42424242512121202 0.501253231829573969E-02
 -0.530317879860824244E-02 2.62626262713131320 0.501253231829573969E-02
 -0.545951451378811833E-02 2.82828282914141438 0.501253231829573969E-02
 -0.518360266217627631E-02 3.03030303115151511 0.501253231829573969E-02
 -0.468781211649064479E-02 3.23232323316161629 0.501253231829573969E-02
 -0.410499165597521479E-02 3.43434343517171703 0.501253231829573969E-02
 -0.351447930182532172E-02 3.63636363718181821 0.501253231829573969E-02
 -0.296037781058884836E-02 3.83838383919191939 0.501253231829573969E-02
 -0.246422959712907716E-02 4.04040404120202012 0.501253231829573969E-02
 -0.203366001903041273E-02 4.24242424321212130 0.501253231829573969E-02
 -0.166815031169573907E-02 4.44444444522222248 0.501253231829573969E-02
 -0.136279686747273697E-02 4.64646464723232366 0.501253231829573969E-02
 -0.111068265749678834E-02 4.84848484924242396 0.501253231829573969E-02
 -0.904311546338874730E-03 5.05050505125252513 0.501253231829573969E-02
 -0.736424739892711181E-03 5.25252525326262631 0.501253231829573969E-02
 -0.600421234978620617E-03 5.45454545527272749 0.501253231829573969E-02
 -0.490533302579364695E-03 5.65656565728282867 0.501253231829573969E-02
 -0.401857488725326198E-03 5.85858585929292897 0.501253231829573969E-02
 -0.330306271304213787E-03 6.06060606130303015 0.501253231829573969E-02
 -0.272521312563938722E-03 6.26262626331313133 0.501253231829573969E-02
 -0.225773045550348481E-03 6.46464646532323250 0.501253231829573969E-02
 -0.187860745039244553E-03 6.66666666733333368 0.501253231829573969E-02
 -0.157020502757597501E-03 6.86868686934343486 0.501253231829573969E-02
 -0.131844388741072610E-03 7.07070707135353516 0.501253231829573969E-02
 -0.111211646609646661E-03 7.27272727336363634 0.501253231829573969E-02
 -0.942314286798202650E-04 7.47474747537373752 0.501253231829573969E-02
 -0.801959150525684538E-04 7.67676767738383869 0.501253231829573969E-02
 -0.685424072892176198E-04 7.87878787939393987 0.501253231829573969E-02
 -0.588229667011821436E-04 8.08080808140404017 0.501253231829573969E-02
 -0.506802694022019993E-04 8.28282828341414223 0.501253231829573969E-02
 -0.438285078998141872E-04 8.48484848542424253 0.501253231829573969E-02
 -0.380383428102679696E-04 8.68686868743434282 0.501253231829573969E-02
 -0.331250766072079485E-04 8.88888888944444489 0.501253231829573969E-02
 -0.289393734015545548E-04 9.09090909145454518 0.501253231829573969E-02
 -0.253599803468857584E-04 9.29292929346464724 0.501253231829573969E-02
 -0.222880168221423025E-04 9.49494949547474754 0.501253231829573969E-02
 -0.196424884662744978E-04 9.69696969748484783 0.501253231829573969E-02
 -0.173567567256996035E-04 9.89898989949494990 0.501253231829573969E-02
 -0.153757533984422189E-04 10.1010101015050502 0.501253231829573969E-02
 -0.136537762262143828E-04 10.3030303035151523 0.501253231829573969E-02
 -0.121527381692578440E-04 10.5050505055252525 0.501253231829573969E-02
 -0.108407715659783676E-04 10.7070707075353528 0.501253231829573969E-02
 -0.969111058268922807E-05 10.9090909095454549 0.501253231829573969E-02
 -0.868119255544082240E-05 11.1111111115555552 0.501253231829573969E-02
 -0.779193211220827895E-05 11.3131313135656573 0.501253231829573969E-02
 -0.700713221348406161E-05 11.5151515155757576 0.501253231829573969E-02
 -0.631300415183067830E-05 11.7171717175858596 0.501253231829573969E-02
 -0.569777464524563885E-05 11.9191919195959599 0.501253231829573969E-02
 -0.515136286395234285E-05 12.1212121216060602 0.501253231829573969E-02
 -0.466511386881182723E-05 12.3232323236161623 0.501253231829573969E-02
 -0.423157776058732933E-05 12.5252525256262626 0.501253231829573969E-02
 -0.384432603329681101E-05 12.7272727276363646 0.501253231829573969E-02
 -0.349779833748177582E-05 12.9292929296464649 0.501253231829573969E-02
 -0.318717420153343304E-05 13.1313131316565652 0.501253231829573969E-02
 -0.290826531600090816E-05 13.3333333336666673 0.501253231829573969E-02
 -0.265742482170868822E-05 13.5353535356767676 0.501253231829573969E-02
 -0.243147070688988876E-05 13.7373737376868696 0.501253231829573969E-02
 -0.222762094916075387E-05 13.9393939396969699 0.501253231829573969E-02
 -0.204343846397931924E-05 14.1414141417070702 0.501253231829573969E-02
 -0.187678426453558895E-05 14.3434343437171723 0.501253231829573969E-02
 -0.172577751603276390E-05 14.5454545457272726 0.501253231829573969E-02
 -0.158876139340150629E-05 14.7474747477373747 0.501253231829573969E-02
 -0.146427383606801385E-05 14.9494949497474749 0.501253231829573969E-02
 -0.135102244464169179E-05 15.1515151517575752 0.501253231829573969E-02
 -0.124786288874090501E-05 15.3535353537676773 0.501253231829573969E-02
 -0.115378029773929127E-05 15.5555555557777776 0.501253231829573969E-02
 -0.106787319105429166E-05 15.7575757577878797 0.501253231829573969E-02
 -0.989339574967831261E-06 15.9595959597979800 0.501253231829573969E-02
 -0.917464891483271490E-06 16.1616161618080802 0.501253231829573969E-02
 -0.851611553496193286E-06 16.3636363638181805 0.501253231829573969E-02
 -0.791209841302689190E-06 16.5656565658282844 0.501253231829573969E-02
 -0.735749969584058017E-06 16.7676767678383847 0.501253231829573969E-02
 -0.684775162629140281E-06 16.9696969698484850 0.501253231829573969E-02
 -0.637875599618799352E-06 17.1717171718585853 0.501253231829573969E-02
 -0.594683112067951142E-06 17.3737373738686856 0.501253231829573969E-02
